StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_submission,partisanship,ideology,gender,gender_4_TEXT,race,ethnicity,education,geography,ft_1,ft_2,ft_3,ft_4,ft_5,ft_6,social_media,dating_apps,siblings,children,grandchildren,hobbies_interests,occupation,personality,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,d1,d2,d3,d4,d5,d6,1_profile_binary,1_profile_likert_1,2_profile_binary,2_profile_likert_1,3_profile_binary,3_profile_likert_1,4_profile_binary,4_profile_likert_1,5_profile_binary,5_profile_likert_1,6_profile_binary,6_profile_likert_1,7_profile_binary,7_profile_likert_1,8_profile_binary,8_profile_likert_1,9_profile_binary,9_profile_likert_1,10_profile_binary,10_profile_likert_1,participantId,assignmentId,projectId,randomfamily1,randomparty1,randomhobby1,selectionStatus_hobby1,randomocc1,randomperson1,selectionStatus_family1,selectionStatus_party1,selectionStatus_occ1,selectionStatus_person1,randomfamily2,randomfamily3,randomfamily4,randomfamily5,randomfamily6,randomfamily7,randomfamily8,randomfamily9,randomfamily10,randomparty2,randomparty3,randomparty4,randomparty5,randomparty6,randomparty7,randomparty8,randomparty9,randomparty10,randomhobby2,randomhobby3,randomhobby4,randomhobby5,randomhobby6,randomhobby7,randomhobby8,randomhobby9,randomhobby10,randomocc2,randomocc3,randomocc4,randomocc5,randomocc6,randomocc7,randomocc8,randomocc9,randomocc10,randomperson2,randomperson3,randomperson4,randomperson5,randomperson6,randomperson7,randomperson8,randomperson9,randomperson10,selectionStatus_family2,selectionStatus_family3,selectionStatus_family4,selectionStatus_family5,selectionStatus_family6,selectionStatus_family7,selectionStatus_family8,selectionStatus_family9,selectionStatus_family10,selectionStatus_party2,selectionStatus_party3,selectionStatus_party4,selectionStatus_party5,selectionStatus_party6,selectionStatus_party7,selectionStatus_party8,selectionStatus_party9,selectionStatus_party10,selectionStatus_hobby2,selectionStatus_hobby3,selectionStatus_hobby4,selectionStatus_hobby5,selectionStatus_hobby6,selectionStatus_hobby7,selectionStatus_hobby8,selectionStatus_hobby9,selectionStatus_hobby10,selectionStatus_occ2,selectionStatus_occ3,selectionStatus_occ4,selectionStatus_occ5,selectionStatus_occ6,selectionStatus_occ7,selectionStatus_occ8,selectionStatus_occ9,selectionStatus_occ10,selectionStatus_person2,selectionStatus_person3,selectionStatus_person4,selectionStatus_person5,selectionStatus_person6,selectionStatus_person7,selectionStatus_person8,selectionStatus_person9,selectionStatus_person10,FL_47_DO
4/22/24 8:25,4/22/24 8:28,IP Address,172.56.196.130,100,185,TRUE,4/22/24 8:28,R_5lhEqmguERUxOBS,,,,,42.2904,-71.0712,anonymous,EN,Submit,Republican,Very conservative,Male,,Asian,No,High school graduate,"Northeast (Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont)",0,0,0,50,45,58,Frequently,Never (and never have),"Yes, and I am the oldest.",No,No,"Gaming: card games, board games, video games, etc.",Construction,Introvert,15.145,36.336,36.907,6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,1,No,2,No,3,No,2,No,1,No,1,No,2,No,2,No,2,No,2,C26E207D61F94497895EF589F2E6CF26,ce80352f-aa9a-4874-9786-61c2bf42fcb0,f53608ff-9b3c-4b93-9859-168933159642,"Yes, and I am the youngest",Democrat,"Food: cooking, baking, etc",Unselected,Construction,Introvert,Unselected,Unselected,Selected,Selected,"Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am in the middle","No, I am an only child.","Yes, and I am the youngest","Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am the youngest",Republican,Republican,Republican,Democrat,Democrat,Republican,Republican,Republican,Republican,"Gaming: card games, board games, video games, etc.","Intellectual: reading, taking classes, trivia, etc.","Gaming: card games, board games, video games, etc.","Gaming: card games, board games, video games, etc.","Intellectual: reading, taking classes, trivia, etc.","Active: sports, hiking, working out, etc","Arts: painting, creative writing, theater, photography, etc","Gaming: card games, board games, video games, etc.","Intellectual: reading, taking classes, trivia, etc.",Construction,Construction,Construction,Unemployed,Construction,Business Management,Construction,Journalism,Construction,Extrovert,Introvert,Extrovert,Introvert,Extrovert,Extrovert,Introvert,Extrovert,Extrovert,Selected,Selected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Unselected,Selected,Selected,Selected,Unselected,Unselected,Selected,Selected,Selected,Selected,Selected,Unselected,Selected,Selected,Unselected,Unselected,Unselected,Selected,Unselected,Selected,Selected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Unselected,Selected,Unselected,Unselected,background_personality|background_education|background_occupation|background_gender|background_race|background_hobbies|background_family|background_ft|background_media|background_politics|background_geography
4/22/24 8:25,4/22/24 8:29,IP Address,72.85.185.24,100,217,TRUE,4/22/24 8:29,R_5f9ej0xPQFpZGJB,,,,,42.3291,-71.1815,anonymous,EN,Submit,Democrat,Very liberal,Female,,Asian,No,Bachelor's degree,"Northeast (Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont)",64,76,9,17,50,50,Sometimes,Never (and never have),"No, I am an only child.",No,No,"Arts: painting, creative writing, theater, photography, etc.",Healthcare,Introvert,11.28,50.03,50.535,8,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Yes,4,No,2,No,2,Yes,3,No,2,Yes,4,Yes,3,Yes,3,Yes,3,Yes,3,CF8AA02F56A8464586728850B5EEB786,6f26aa0c-231d-4cd0-9f2a-b37bd5202a57,f53608ff-9b3c-4b93-9859-168933159642,"No, I am an only child.",Democrat,"Arts: painting, creative writing, theater, photography, etc.",Selected,Retired,Introvert,Selected,Selected,Unselected,Selected,"Yes, and I am the oldest","Yes, and I am the youngest.","Yes, and I am the oldest","Yes, and I am the youngest.","No, I am an only child.","No, I am an only child.","Yes, and I am in the middle","No, I am an only child.","Yes, and I am the oldest",Democrat,Republican,Democrat,Republican,Democrat,Republican,Democrat,Democrat,Democrat,"Arts: painting, creative writing, theater, photography, etc.","Arts: painting, creative writing, theater, photography, etc.","Intellectual: reading, taking classes, trivia, etc.","Arts: painting, creative writing, theater, photography, etc.","Arts: painting, creative writing, theater, photography, etc.","Arts: painting, creative writing, theater, photography, etc.","Active: sports, hiking, working out, etc","Active: sports, hiking, working out, etc","Active: sports, hiking, working out, etc",Construction,Retail,Healthcare,Public Relations/Graphic Design,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Extrovert,Extrovert,Introvert,Extrovert,Extrovert,Introvert,Introvert,Introvert,Introvert,Unselected,Unselected,Unselected,Unselected,Selected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Selected,Selected,Selected,Selected,Unselected,Selected,Selected,Selected,Unselected,Unselected,Unselected,Unselected,Unselected,Selected,Unselected,Selected,Selected,Selected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Unselected,Selected,Selected,Selected,Selected,background_family|background_geography|background_education|background_gender|background_politics|background_occupation|background_media|background_ft|background_personality|background_hobbies|background_race
4/22/24 8:25,4/22/24 8:29,IP Address,206.74.97.212,100,231,TRUE,4/22/24 8:29,R_2Kv8PaUGmHlDJhk,,,,,34.9071,-81.0073,anonymous,EN,Submit,Republican,Conservative,Male,,White,No,Associate's degree,"South (Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, Oklahoma, North Carolina, South Carolina, Tennessee, Texas, Virginia, Washington DC, West Virginia)",0,0,97,100,76,77,Sometimes,Never (and never have),"Yes, and I am the oldest.",Yes,No,"Active: sports, hiking, working out, etc.",Finance/Financial Services,Introvert,15.968,42.441,43.468,6,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,No,1,Yes,4,Yes,3,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,3E989D35F5554D25BB0DC7E166E453BA,2fc73769-8c19-4f6e-a090-5ce30a368b35,f53608ff-9b3c-4b93-9859-168933159642,"No, I am an only child.",Democrat,"Active: sports, hiking, working out, etc.",Selected,Aviation,Extrovert,Unselected,Unselected,Unselected,Unselected,"Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am in the middle","Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am in the middle",Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,"Food: cooking, baking, etc","Gaming: card games, board games, video games, etc","Intellectual: reading, taking classes, trivia, etc.","Active: sports, hiking, working out, etc.","Active: sports, hiking, working out, etc.","Active: sports, hiking, working out, etc.","Intellectual: reading, taking classes, trivia, etc.","Active: sports, hiking, working out, etc.","Active: sports, hiking, working out, etc.",Finance/Financial Services,Finance/Financial Services,Military,Finance/Financial Services,Finance/Financial Services,Finance/Financial Services,Finance/Financial Services,Data Analytics/Research,Human Resources,Introvert,Extrovert,Introvert,Introvert,Introvert,Extrovert,Extrovert,Introvert,Introvert,Selected,Selected,Selected,Selected,Unselected,Selected,Selected,Selected,Unselected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Unselected,Selected,Selected,Selected,Selected,Unselected,Selected,Selected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Selected,Selected,Selected,Unselected,Unselected,Selected,Selected,background_media|background_hobbies|background_ft|background_politics|background_family|background_education|background_gender|background_occupation|background_race|background_personality|background_geography
4/22/24 8:25,4/22/24 8:29,IP Address,8.42.147.1,100,242,TRUE,4/22/24 8:29,R_8QhdhBToR5smRPE,,,,,41.1526,-81.63,anonymous,EN,Submit,Democrat,Somewhat conservative,Male,,Black or African American,No,High school graduate,"Northeast (Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont)",50,50,50,50,50,50,Frequently,Never (but I used to),"Yes, and I am the youngest.",Yes,No,"Food: cooking, baking, etc.",Retail,Introvert,7.748,52.964,53.698,17,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Yes,3,No,2,Yes,4,Yes,4,Yes,5,Yes,5,Yes,5,Yes,5,Yes,5,Yes,5,697B7145E01F4B1DAC79AEF09D4043C9,1a7d9455-1784-4d9b-8af0-10def09c7386,f53608ff-9b3c-4b93-9859-168933159642,"Yes, and I am the youngest.",Democrat,"Arts: painting, creative writing, theater, photography, etc",Unselected,Retail,Extrovert,Selected,Selected,Selected,Unselected,"Yes, and I am in the middle","No, I am an only child.","Yes, and I am the youngest.","No, I am an only child.","No, I am an only child.","Yes, and I am the youngest.","No, I am an only child.","Yes, and I am the youngest.","Yes, and I am the oldest",Democrat,Republican,Republican,Democrat,Democrat,Republican,Democrat,Democrat,Democrat,"Food: cooking, baking, etc.","Food: cooking, baking, etc.","Intellectual: reading, taking classes, trivia, etc.","Active: sports, hiking, working out, etc","Active: sports, hiking, working out, etc","Food: cooking, baking, etc.","Food: cooking, baking, etc.","Food: cooking, baking, etc.","Gaming: card games, board games, video games, etc",Unemployed,Administrative,Sales,Retail,Retail,Retail,Military,Law Enforcement/Emergency Services,Retail,Extrovert,Extrovert,Introvert,Introvert,Extrovert,Extrovert,Introvert,Extrovert,Introvert,Unselected,Unselected,Selected,Unselected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Unselected,Selected,Selected,Unselected,Selected,Selected,Selected,Selected,Selected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Unselected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Unselected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Selected,background_geography|background_hobbies|background_personality|background_education|background_ft|background_family|background_gender|background_occupation|background_media|background_race|background_politics
4/22/24 8:25,4/22/24 8:29,IP Address,134.129.205.77,100,220,TRUE,4/22/24 8:29,R_5afw3SlQjNc0VC9,,,,,47.8977,-97.0394,anonymous,EN,Submit,Democrat,Liberal,Male,,Hispanic or Latino,Yes,Some college without degree,"West (Alaska, Arizona, California, Colorado, Hawaii, Idaho, Montana, Nebraska, New Mexico, Oregon, Utah, Washington, Wyoming)",82,83,4,82,89,88,Frequently,Never (and never have),"Yes, and I am the oldest.",No,No,"Food: cooking, baking, etc.",Administrative,Extrovert,6.602,29.612,31.191,6,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Yes,4,Yes,5,No,2,Yes,4,Yes,4,Yes,4,Yes,5,No,2,Yes,4,Yes,4,68120B46CB69461497F320EBEBAAFBBA,e1f76fe3-3ce9-459c-aeaf-b4f7935b221c,f53608ff-9b3c-4b93-9859-168933159642,"No, I am an only child.",Republican,"Food: cooking, baking, etc.",Selected,Administrative,Extrovert,Unselected,Unselected,Selected,Selected,"Yes, and I am the youngest","No, I am an only child.","Yes, and I am the oldest.","Yes, and I am in the middle","Yes, and I am the oldest.","Yes, and I am in the middle","Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am the oldest.",Democrat,Republican,Republican,Democrat,Republican,Democrat,Republican,Democrat,Republican,"Gaming: card games, board games, video games, etc","Food: cooking, baking, etc.","Intellectual: reading, taking classes, trivia, etc.","Arts: painting, creative writing, theater, photography, etc","Intellectual: reading, taking classes, trivia, etc.","Gaming: card games, board games, video games, etc","Food: cooking, baking, etc.","Intellectual: reading, taking classes, trivia, etc.","Food: cooking, baking, etc.",Administrative,Administrative,Administrative,Law Enforcement/Emergency Services,Accounting,Retail,Administrative,Administrative,Administrative,Extrovert,Introvert,Extrovert,Extrovert,Introvert,Introvert,Extrovert,Introvert,Extrovert,Unselected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Selected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Unselected,Selected,Unselected,Unselected,Unselected,Unselected,Selected,Unselected,Selected,Selected,Selected,Selected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Selected,Unselected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Selected,background_gender|background_race|background_media|background_personality|background_politics|background_family|background_hobbies|background_occupation|background_ft|background_education|background_geography
4/22/24 8:26,4/22/24 8:29,IP Address,99.56.112.248,100,207,TRUE,4/22/24 8:29,R_27Px6QimNSvYt4H,,,,,29.7439,-95.6067,anonymous,EN,Submit,Democrat,Somewhat liberal,Male,,"White,Hispanic or Latino",Yes,Associate's degree,"South (Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, Oklahoma, North Carolina, South Carolina, Tennessee, Texas, Virginia, Washington DC, West Virginia)",50,60,5,25,50,50,Sometimes,Never (and never have),"Yes, and I am in the middle.",No,No,"Active: sports, hiking, working out, etc.",Healthcare,Introvert,13.996,43.55,45.102,7,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,No,3,Yes,3,Yes,3,No,2,No,2,No,2,Yes,3,Yes,4,No,3,Yes,5,14012CEC69774628B12A21F793A04037,d0016fea-8950-4856-adcc-1dd2b945493f,f53608ff-9b3c-4b93-9859-168933159642,"Yes, and I am the oldest",Republican,"Active: sports, hiking, working out, etc.",Selected,Healthcare,Extrovert,Unselected,Unselected,Selected,Unselected,"Yes, and I am the oldest","Yes, and I am in the middle.","Yes, and I am in the middle.","Yes, and I am the oldest","Yes, and I am the oldest","Yes, and I am in the middle.","Yes, and I am the youngest","Yes, and I am in the middle.","Yes, and I am the youngest",Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Republican,Democrat,"Active: sports, hiking, working out, etc.","Food: cooking, baking, etc","Food: cooking, baking, etc","Food: cooking, baking, etc","Gaming: card games, board games, video games, etc","Intellectual: reading, taking classes, trivia, etc.","Food: cooking, baking, etc","Arts: painting, creative writing, theater, photography, etc","Food: cooking, baking, etc",Healthcare,Healthcare,Healthcare,IT/Computers,Fitness Instructor,Healthcare,Librarian,Hospitality,Healthcare,Extrovert,Introvert,Extrovert,Introvert,Introvert,Introvert,Introvert,Introvert,Extrovert,Unselected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Selected,Unselected,Unselected,Unselected,Unselected,Unselected,Unselected,Unselected,Selected,Unselected,Selected,Selected,Unselected,Unselected,Unselected,Unselected,Unselected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Selected,Selected,Selected,Selected,Unselected,background_ft|background_gender|background_personality|background_media|background_race|background_education|background_hobbies|background_politics|background_geography|background_occupation|background_family
4/22/24 8:25,4/22/24 8:30,IP Address,73.44.198.127,100,286,TRUE,4/22/24 8:30,R_5LBvRbzQN8WYpfg,,,,,42.1112,-88.0439,anonymous,EN,Submit,Democrat,Liberal,Male,,Asian,No,Master's degree,"Midwest (Illinois, Iowa, Indiana, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin)",62,70,32,19,80,80,Frequently,Sometimes,"Yes, and I am the youngest.",No,No,"Intellectual: reading, taking classes, trivia, etc.",IT/Computers,Introvert,0.385,82.135,82.99,32,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Yes,4,No,2,No,3,Yes,4,Yes,4,No,3,Yes,4,Yes,3,Yes,4,Yes,3,87E19F0A0B31461484704A06DB9A84C3,81695b5f-c13c-4aa0-bf92-14e26b68f5e5,f53608ff-9b3c-4b93-9859-168933159642,"Yes, and I am the oldest",Democrat,"Food: cooking, baking, etc",Unselected,IT/Computers,Extrovert,Unselected,Selected,Selected,Unselected,"Yes, and I am the youngest.","Yes, and I am the youngest.","Yes, and I am the youngest.","Yes, and I am the youngest.","Yes, and I am the youngest.","Yes, and I am in the middle","Yes, and I am in the middle","Yes, and I am the youngest.","Yes, and I am the youngest.",Democrat,Republican,Republican,Democrat,Democrat,Democrat,Republican,Democrat,Democrat,"Food: cooking, baking, etc","Active: sports, hiking, working out, etc","Intellectual: reading, taking classes, trivia, etc.","Arts: painting, creative writing, theater, photography, etc","Gaming: card games, board games, video games, etc.","Intellectual: reading, taking classes, trivia, etc.","Intellectual: reading, taking classes, trivia, etc.","Intellectual: reading, taking classes, trivia, etc.","Gaming: card games, board games, video games, etc.",Retired,IT/Computers,IT/Computers,Education,Hospitality,IT/Computers,Administrative,IT/Computers,IT/Computers,Extrovert,Introvert,Extrovert,Introvert,Introvert,Extrovert,Introvert,Extrovert,Extrovert,Selected,Selected,Selected,Selected,Selected,Unselected,Unselected,Selected,Selected,Selected,Unselected,Unselected,Selected,Selected,Selected,Unselected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Unselected,Selected,Selected,Selected,Unselected,Unselected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Selected,Selected,Unselected,Selected,Unselected,Selected,Selected,Unselected,Selected,Unselected,Unselected,background_race|background_geography|background_education|background_media|background_gender|background_personality|background_hobbies|background_occupation|background_politics|background_family|background_ft
4/22/24 8:26,4/22/24 8:30,IP Address,173.75.250.25,100,281,TRUE,4/22/24 8:30,R_2gBKNXQQaIxKHG1,,,,,39.6732,-75.7121,anonymous,EN,Submit,Democrat,Very liberal,Male,,Asian,No,Master's degree,"South (Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, Oklahoma, North Carolina, South Carolina, Tennessee, Texas, Virginia, Washington DC, West Virginia)",70,80,25,28,76,86,Frequently,Sometimes,"Yes, and I am the oldest.",Yes,No,"Arts: painting, creative writing, theater, photography, etc.",IT/Computers,Introvert,59.239,113.307,114.081,7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Yes,3,Yes,5,Yes,4,No,2,Yes,3,Yes,5,Yes,4,Yes,4,Yes,3,No,2,98F1F2ACBEEF441A9A454C5FFDFCCB3B,c4ea3fad-73ca-4650-a2a0-1fc14d6bcf9c,f53608ff-9b3c-4b93-9859-168933159642,"Yes, and I am the oldest.",Republican,"Gaming: card games, board games, video games, etc",Unselected,IT/Computers,Introvert,Selected,Unselected,Selected,Selected,"Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am the youngest","Yes, and I am the oldest.","Yes, and I am in the middle","Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am the oldest.","Yes, and I am the oldest.",Democrat,Republican,Republican,Republican,Democrat,Democrat,Democrat,Republican,Democrat,"Food: cooking, baking, etc","Intellectual: reading, taking classes, trivia, etc.","Intellectual: reading, taking classes, trivia, etc.","Arts: painting, creative writing, theater, photography, etc.","Arts: painting, creative writing, theater, photography, etc.","Arts: painting, creative writing, theater, photography, etc.","Arts: painting, creative writing, theater, photography, etc.","Arts: painting, creative writing, theater, photography, etc.","Active: sports, hiking, working out, etc",IT/Computers,IT/Computers,Legal,Sales,IT/Computers,Retired,IT/Computers,Engineering,IT/Computers,Introvert,Extrovert,Introvert,Introvert,Introvert,Introvert,Extrovert,Introvert,Extrovert,Selected,Selected,Unselected,Selected,Unselected,Selected,Selected,Selected,Selected,Selected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Unselected,Selected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Selected,Selected,Unselected,Selected,Selected,Unselected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Selected,Unselected,Selected,Selected,Selected,Selected,Unselected,Selected,Unselected,background_media|background_family|background_ft|background_politics|background_gender|background_occupation|background_geography|background_race|background_personality|background_hobbies|background_education
4/22/24 8:26,4/22/24 8:30,IP Address,205.203.116.1,100,270,TRUE,4/22/24 8:30,R_3jTlmHxsU4YD5XQ,,,,,40.763,-73.9926,anonymous,EN,Submit,Democrat,Liberal,Female,,"White,Hispanic or Latino",Yes,Bachelor's degree,"Northeast (Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont)",63,72,3,6,61,61,Never (but I used to),Never (and never have),"No, I am an only child.",Yes,No,"Intellectual: reading, taking classes, trivia, etc.",Finance/Financial Services,Introvert,20.887,94.805,95.447,8,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,No,2,Yes,3,Yes,5,Yes,4,Yes,3,Yes,4,Yes,3,Yes,3,Yes,3,Yes,4,76A6A31DA16F423A8B9D9D63791511B2,c1d439fc-85e8-4e12-b7ee-62d80b82ed8b,f53608ff-9b3c-4b93-9859-168933159642,"Yes, and I am in the middle",Republican,"Arts: painting, creative writing, theater, photography, etc",Unselected,Construction,Introvert,Unselected,Unselected,Unselected,Selected,"No, I am an only child.","Yes, and I am the youngest.","Yes, and I am the youngest.","Yes, and I am the youngest.","No, I am an only child.","Yes, and I am the youngest.","Yes, and I am the youngest.","No, I am an only child.","No, I am an only child.",Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,"Intellectual: reading, taking classes, trivia, etc.","Food: cooking, baking, etc","Food: cooking, baking, etc","Gaming: card games, board games, video games, etc.","Active: sports, hiking, working out, etc","Active: sports, hiking, working out, etc","Intellectual: reading, taking classes, trivia, etc.","Intellectual: reading, taking classes, trivia, etc.","Arts: painting, creative writing, theater, photography, etc",Accounting,Journalism,Homemaker,Agriculture,Finance/Financial Services,Finance/Financial Services,Finance/Financial Services,Finance/Financial Services,Finance/Financial Services,Extrovert,Introvert,Introvert,Introvert,Introvert,Extrovert,Extrovert,Extrovert,Introvert,Selected,Unselected,Unselected,Unselected,Selected,Unselected,Unselected,Selected,Selected,Unselected,Selected,Selected,Selected,Selected,Selected,Selected,Unselected,Selected,Selected,Unselected,Unselected,Unselected,Unselected,Unselected,Selected,Selected,Unselected,Unselected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Selected,Selected,Unselected,Selected,Selected,Selected,Selected,Unselected,Unselected,Unselected,Selected,background_occupation|background_education|background_ft|background_gender|background_hobbies|background_race|background_media|background_family|background_geography|background_personality|background_politics
4/22/24 8:25,4/22/24 8:31,IP Address,108.232.47.212,100,317,TRUE,4/22/24 8:31,R_5Vr3YpNljxcFj2G,,,,,36.3725,-96.0117,anonymous,EN,Submit,Republican,Conservative,Male,,American Indian,No,High school graduate,"South (Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, Oklahoma, North Carolina, South Carolina, Tennessee, Texas, Virginia, Washington DC, West Virginia)",6,0,86,70,19,80,Frequently,Rarely,"Yes, and I am the oldest.",Yes,No,"Gaming: card games, board games, video games, etc.",IT/Computers,Introvert,7.396,83.428,84.899,14,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,No,1,Yes,4,Yes,4,Yes,3,No,2,Yes,4,No,1,Yes,3,No,2,No,2,66D203BE245D44F68D82D5421434275B,63c62c4b-d408-4ce3-ba74-4a80cdbdd12b,f53608ff-9b3c-4b93-9859-168933159642,"Yes, and I am the oldest.",Democrat,"Arts: painting, creative writing, theater, photography, etc",Unselected,Minister/Pastor/Missions,Introvert,Selected,Unselected,Unselected,Selected,"Yes, and I am in the middle","No, I am an only child.","Yes, and I am the youngest","Yes, and I am the oldest.","Yes, and I am in the middle","Yes, and I am the oldest.","No, I am an only child.","Yes, and I am the youngest","Yes, and I am the oldest.",Republican,Republican,Republican,Republican,Republican,Democrat,Democrat,Democrat,Democrat,"Gaming: card games, board games, video games, etc.","Food: cooking, baking, etc","Gaming: card games, board games, video games, etc.","Arts: painting, creative writing, theater, photography, etc","Gaming: card games, board games, video games, etc.","Arts: painting, creative writing, theater, photography, etc","Gaming: card games, board games, video games, etc.","Gaming: card games, board games, video games, etc.","Gaming: card games, board games, video games, etc.",IT/Computers,IT/Computers,IT/Computers,Retail,IT/Computers,Fitness Instructor,IT/Computers,Customer Service,Finance/Financial Services,Extrovert,Introvert,Introvert,Introvert,Introvert,Introvert,Introvert,Extrovert,Extrovert,Unselected,Unselected,Unselected,Selected,Unselected,Selected,Unselected,Unselected,Selected,Selected,Selected,Selected,Selected,Selected,Unselected,Unselected,Unselected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Selected,Selected,Selected,Selected,Selected,Selected,Unselected,Selected,Unselected,Selected,Unselected,Unselected,Unselected,Selected,Selected,Selected,Selected,Selected,Selected,Unselected,Unselected,background_family|background_media|background_hobbies|background_ft|background_race|background_personality|background_geography|background_education|background_politics|background_occupation|background_gender
